Train Loss,Valid Loss,Train precision,Valid precision,Train accuracy,Valid accuracy,Train f1_score,Valid f1_score,Train recall,Valid recall
0.004957987543709745,0.00373368498303382,0.798941798941799,1.0,0.9520111818605373,0.9613420860685631,0.745679012345679,0.7557603686635944,0.6990740740740741,0.6074074074074074
0.0015100352412233085,0.0043143944539344396,0.9570747217806042,0.9764705882352941,0.9886628358440752,0.9606126914660832,0.9428347689898199,0.7545454545454545,0.9290123456790124,0.6148148148148148
0.0010131544130144,0.002582900382100824,0.9746434231378764,0.9037037037037037,0.9923901226898587,0.9810357403355215,0.9616888193901486,0.9037037037037037,0.9490740740740741,0.9037037037037037
0.000652073555984905,0.0019654323743020026,0.9797191887675507,0.976,0.9948749805870477,0.9883296863603209,0.9743987587276959,0.9384615384615385,0.9691358024691358,0.9037037037037037
0.0004279001282156616,0.0015078064148588736,0.9725190839694656,0.991869918699187,0.9954961950613449,0.9897884755652808,0.977743668457406,0.9457364341085271,0.9830246913580247,0.9037037037037037
0.00017516814427521825,0.002766351278059007,0.9907120743034056,0.9758064516129032,0.9978257493399596,0.987600291757841,0.9891808346213292,0.9343629343629344,0.9876543209876543,0.8962962962962963
0.000249133207032751,0.002888787361152299,0.990726429675425,0.8266666666666667,0.9979810529585339,0.9730123997082422,0.9899613899613899,0.8701754385964913,0.9891975308641975,0.9185185185185185
0.0002027240238337731,0.010034121819123996,0.9938080495356038,0.9029850746268657,0.9984469638142569,0.9803063457330415,0.9922720247295209,0.8996282527881041,0.9907407407407407,0.8962962962962963
0.0001252669381423427,0.0028275412581526462,0.9907692307692307,0.9104477611940298,0.9984469638142569,0.9817651349380014,0.9922958397534669,0.9070631970260223,0.9938271604938271,0.9037037037037037
0.00017487985587867798,0.0030556419353650467,0.9922839506172839,0.968,0.9984469638142569,0.986870897155361,0.9922839506172839,0.9307692307692308,0.9922839506172839,0.8962962962962963
3.911347558973645e-05,0.003446574131753083,1.0,0.968,0.9996893927628514,0.986870897155361,0.9984544049459042,0.9307692307692308,0.9969135802469136,0.8962962962962963
1.065096840932911e-05,0.0052722855347108665,0.9984567901234568,0.9384615384615385,0.9996893927628514,0.9846827133479212,0.9984567901234568,0.9207547169811321,0.9984567901234568,0.9037037037037037
2.1422365162535087e-05,0.0032732185158131145,0.9969135802469136,1.0,0.9993787855257027,0.987600291757841,0.9969135802469136,0.932806324110672,0.9969135802469136,0.8740740740740741
1.7951472067179994e-06,0.0034394756296708285,1.0,0.975609756097561,1.0,0.986870897155361,1.0,0.9302325581395349,1.0,0.8888888888888888
5.248902331119185e-05,0.004784892386770633,0.9969135802469136,0.952755905511811,0.9993787855257027,0.9854121079504011,0.9969135802469136,0.9236641221374046,0.9969135802469136,0.8962962962962963
